entity_count,operation,sample,calls,elapsed_ticks,microseconds_per_call,managed_bytes,managed_bytes_per_call
100,Harness.find-checksum,17,8,1,0.0125,0,0
100,Harness.find-checksum,18,8,1,0.0125,0,0
100,Harness.find-checksum,19,8,1,0.0125,0,0
100,Harness.find-checksum,20,8,1,0.0125,0,0
100,Harness.find-checksum,21,8,1,0.0125,0,0
100,Harness.find-checksum,22,8,0,0,0,0
100,Harness.find-checksum,23,8,0,0,0,0
100,Harness.find-checksum,24,8,0,0,0,0
100,OrderedEntities.Building,0,2,4022,201.1,0,0
100,OrderedEntities.Building,1,2,3686,184.3,0,0
100,OrderedEntities.Building,2,2,3615,180.75,0,0
100,OrderedEntities.Building,3,2,3642,182.1,0,0
100,OrderedEntities.Building,4,2,3650,182.5,0,0
100,OrderedEntities.Building,5,2,3660,183,0,0
100,OrderedEntities.Building,6,2,3751,187.55,0,0
100,OrderedEntities.Building,7,2,3674,183.7,0,0
100,OrderedEntities.Building,8,2,3639,181.95,0,0
100,OrderedEntities.Building,9,2,3638,181.9,0,0
100,OrderedEntities.Building,10,2,3529,176.45,0,0
100,OrderedEntities.Building,11,2,3703,185.15,0,0
100,OrderedEntities.Building,12,2,3741,187.05,0,0
100,OrderedEntities.Building,13,2,3650,182.5,0,0
100,OrderedEntities.Building,14,2,3647,182.35,0,0
100,OrderedEntities.Building,15,2,3566,178.3,0,0
100,OrderedEntities.Building,16,2,3647,182.35,0,0
100,OrderedEntities.Building,17,2,3728,186.4,0,0
100,OrderedEntities.Building,18,2,3891,194.55,0,0
100,OrderedEntities.Building,19,2,4081,204.05,0,0
100,OrderedEntities.Building,20,2,3679,183.95,0,0
100,OrderedEntities.Building,21,2,3582,179.1,0,0
100,OrderedEntities.Building,22,2,3587,179.35,0,0
100,OrderedEntities.Building,23,2,3708,185.4,0,0
100,OrderedEntities.Building,24,2,3610,180.5,0,0
1000,Find.zero,0,8,14,0.175,0,0
1000,Find.zero,1,8,1,0.0125,0,0
1000,Find.zero,2,8,1,0.0125,0,0
1000,Find.zero,3,8,0,0,0,0
1000,Find.zero,4,8,1,0.0125,0,0
1000,Find.zero,5,8,1,0.0125,0,0
1000,Find.zero,6,8,1,0.0125,0,0
1000,Find.zero,7,8,1,0.0125,0,0
1000,Find.zero,8,8,1,0.0125,0,0
1000,Find.zero,9,8,1,0.0125,0,0
1000,Find.zero,10,8,1,0.0125,0,0
1000,Find.zero,11,8,1,0.0125,0,0
1000,Find.zero,12,8,1,0.0125,0,0
1000,Find.zero,13,8,1,0.0125,0,0
1000,Find.zero,14,8,1,0.0125,0,0
1000,Find.zero,15,8,1,0.0125,0,0
1000,Find.zero,16,8,1,0.0125,0,0
1000,Find.zero,17,8,1,0.0125,0,0
1000,Find.zero,18,8,1,0.0125,0,0
1000,Find.zero,19,8,1,0.0125,0,0
1000,Find.zero,20,8,1,0.0125,0,0
1000,Find.zero,21,8,1,0.0125,0,0
1000,Find.zero,22,8,1,0.0125,0,0
1000,Find.zero,23,8,1,0.0125,0,0
1000,Find.zero,24,8,1,0.0125,0,0
1000,Find.first,0,8,770,9.625,0,0
1000,Find.first,1,8,357,4.4625,0,0
1000,Find.first,2,8,855,10.6875,0,0
1000,Find.first,3,8,350,4.375,0,0
1000,Find.first,4,8,344,4.3,0,0
1000,Find.first,5,8,332,4.15,0,0
1000,Find.first,6,8,343,4.2875,0,0
1000,Find.first,7,8,336,4.2,0,0
1000,Find.first,8,8,329,4.1125,0,0
1000,Find.first,9,8,326,4.075,0,0
1000,Find.first,10,8,328,4.1,0,0
1000,Find.first,11,8,318,3.975,0,0
1000,Find.first,12,8,329,4.1125,0,0
1000,Find.first,13,8,338,4.225,0,0
1000,Find.first,14,8,333,4.1625,0,0
1000,Find.first,15,8,328,4.1,0,0
1000,Find.first,16,8,334,4.175,0,0
1000,Find.first,17,8,327,4.0875,0,0
1000,Find.first,18,8,330,4.125,0,0
1000,Find.first,19,8,331,4.1375,0,0
1000,Find.first,20,8,331,4.1375,0,0
1000,Find.first,21,8,331,4.1375,0,0
1000,Find.first,22,8,343,4.2875,0,0
1000,Find.first,23,8,333,4.1625,0,0
1000,Find.first,24,8,329,4.1125,0,0
1000,Find.middle,0,8,5644,70.55,0,0
1000,Find.middle,1,8,4880,61,0,0
1000,Find.middle,2,8,5112,63.9,0,0
1000,Find.middle,3,8,5158,64.475,0,0
1000,Find.middle,4,8,5189,64.8625,0,0
1000,Find.middle,5,8,4940,61.75,0,0
1000,Find.middle,6,8,4970,62.125,0,0
1000,Find.middle,7,8,4972,62.15,0,0
1000,Find.middle,8,8,5006,62.575,0,0
1000,Find.middle,9,8,5083,63.5375,0,0
1000,Find.middle,10,8,4974,62.175,0,0
1000,Find.middle,11,8,4976,62.2,0,0
1000,Find.middle,12,8,4969,62.1125,0,0
1000,Find.middle,13,8,5222,65.275,0,0
1000,Find.middle,14,8,4967,62.0875,0,0
1000,Find.middle,15,8,5257,65.7125,0,0
1000,Find.middle,16,8,5095,63.6875,0,0
1000,Find.middle,17,8,5074,63.425,0,0
1000,Find.middle,18,8,5115,63.9375,0,0
1000,Find.middle,19,8,5003,62.5375,0,0
1000,Find.middle,20,8,4963,62.0375,0,0
1000,Find.middle,21,8,5064,63.3,0,0
1000,Find.middle,22,8,4950,61.875,0,0
1000,Find.middle,23,8,4966,62.075,0,0
1000,Find.middle,24,8,5593,69.9125,0,0
1000,Find.last,0,8,10577,132.2125,0,0
1000,Find.last,1,8,9834,122.925,0,0
1000,Find.last,2,8,10352,129.4,0,0
